Gen=0,Mean=-315.6660527393056,StdDev=66.13856551200628,Best=-133.63682127318054
Gen=1,Mean=-265.39240839576956,StdDev=61.80407321441669,Best=-111.91112545229808
Gen=2,Mean=-180.95389250838045,StdDev=49.57582259595406,Best=-60.37060543012634
Gen=3,Mean=-239.53866009076398,StdDev=60.032402266787884,Best=-93.17955784398207
Gen=4,Mean=-238.55813452035065,StdDev=78.15143283504332,Best=-93.45961694764216
Gen=5,Mean=-195.02302175644292,StdDev=69.82382533910597,Best=-88.91878316756252
Gen=6,Mean=-186.07349633604252,StdDev=58.16860546102826,Best=-88.84514618143189
Gen=7,Mean=-142.57233251891313,StdDev=48.036782782743295,Best=-69.88819642829539
Gen=8,Mean=-191.52883066937176,StdDev=70.72864004364229,Best=-89.43036397108088
Gen=9,Mean=-146.86496991915052,StdDev=59.66560575949107,Best=-63.215346238077345

Gen=9,Mean=-243.70680747131925,StdDev=88.6397060697822,Best=-103.80568385208973
Gen=10,Mean=-195.19717889748284,StdDev=73.41535432362924,Best=-82.28985356652423
Gen=11,Mean=-174.13039462658492,StdDev=65.77778095367606,Best=-79.06819841124496
Gen=12,Mean=-174.36235292741722,StdDev=65.81982742012325,Best=-77.80295624203492
Gen=13,Mean=-177.17690671309572,StdDev=65.70932755384894,Best=-76.38795716603501
Gen=14,Mean=-169.557551163256,StdDev=66.95047007691434,Best=-75.65883953643487
Gen=15,Mean=-187.9035889187736,StdDev=79.33523726216846,Best=-92.29252407427158
Gen=16,Mean=-134.56998694587026,StdDev=53.636963126078584,Best=-53.094161637603804
Gen=17,Mean=-196.41327840625937,StdDev=71.87585175638077,Best=-84.08923831264022
Gen=18,Mean=-140.14762740752823,StdDev=54.47894026172531,Best=-61.18414827387891
Gen=19,Mean=-172.3374112512534,StdDev=68.15241069262616,Best=-82.72671877936415
Gen=20,Mean=-166.99149903530372,StdDev=63.179524768251966,Best=-81.47465863690378
Gen=21,Mean=-165.85916929696108,StdDev=68.35884332053897,Best=-68.02631843632287
Gen=22,Mean=-132.39475739589358,StdDev=49.438754172030805,Best=-56.97955773784138
Gen=23,Mean=-165.5795887596986,StdDev=66.38475191012697,Best=-78.94422081444594
Gen=24,Mean=-163.35737967515956,StdDev=59.10161593108731,Best=-74.84176641421553
Gen=25,Mean=-124.01862518444385,StdDev=58.47207288407373,Best=-54.602838754042814
Gen=26,Mean=-183.35644161746947,StdDev=69.7920010988332,Best=-85.65156157362223
Gen=27,Mean=-189.56692379701505,StdDev=82.86832870365298,Best=-86.93279013122724
Gen=28,Mean=-174.3281337800684,StdDev=75.663204219479,Best=-77.738407495909
Gen=29,Mean=-166.55634075750118,StdDev=71.23465065170977,Best=-81.11775391367786
Gen=30,Mean=-162.5940661298024,StdDev=67.3914776464906,Best=-69.82342013966374
Gen=31,Mean=-165.05951544667718,StdDev=69.10190851567076,Best=-77.86250702359898
Gen=32,Mean=-157.80146957429287,StdDev=63.54169025288456,Best=-70.54076835419359
Gen=33,Mean=-152.86422783550984,StdDev=63.997989407897556,Best=-67.90986673525431
Gen=34,Mean=-153.21965887131017,StdDev=62.178650157102545,Best=-76.17729320473391
Gen=35,Mean=-160.16698433949895,StdDev=55.918895979719544,Best=-75.72034072823497
Gen=36,Mean=-154.5543826734035,StdDev=73.97789532315143,Best=-66.3120652671895
Gen=37,Mean=-159.40516291968285,StdDev=63.68612356353128,Best=-75.37366914247973
Gen=38,Mean=-151.67473079420887,StdDev=69.85281124267135,Best=-71.95338768953134
Gen=39,Mean=-186.9028529122421,StdDev=69.22891067512757,Best=-90.08212919330893
Gen=40,Mean=-172.43031706428076,StdDev=73.10384844255175,Best=-63.482438516490525
Gen=41,Mean=-165.48039794319965,StdDev=64.69695739801286,Best=-83.74765668363503
Gen=42,Mean=-156.81834448759807,StdDev=66.92910526944921,Best=-81.20443337650968
Gen=43,Mean=-142.6024851893563,StdDev=70.39365609072607,Best=-62.341398765186526
Gen=44,Mean=-180.31552470788884,StdDev=79.00446664156863,Best=-82.92665433984419
Gen=45,Mean=-149.29959265015827,StdDev=58.053697853769904,Best=-77.14829874987522
Gen=46,Mean=-158.91221544808232,StdDev=71.64421387231678,Best=-71.88024763452057
Gen=47,Mean=-136.8855929072051,StdDev=60.749049823375,Best=-67.40118693316906
Gen=48,Mean=-154.23321095422784,StdDev=65.26439794212966,Best=-74.74730764382086
Gen=49,Mean=-159.9012189340641,StdDev=72.25326347924018,Best=-81.36670080567357
Gen=50,Mean=-150.7750542859453,StdDev=66.1247019280258,Best=-75.54720378677162
Gen=51,Mean=-157.74669545663576,StdDev=67.67416621216258,Best=-71.19283671831036
Gen=52,Mean=-147.4944348402738,StdDev=59.26791114210298,Best=-76.6226467827887
Gen=53,Mean=-145.87318954045227,StdDev=53.30684827763942,Best=-74.90340446201361
Gen=54,Mean=-134.30395834957727,StdDev=51.528529686330344,Best=-80.61680966150918
Gen=55,Mean=-170.63637943774694,StdDev=68.59278250936622,Best=-83.57679103674656
Gen=56,Mean=-138.41103699889263,StdDev=48.652844078133356,Best=-58.60836117824828
Gen=57,Mean=-179.14701551977055,StdDev=80.98404923414915,Best=-81.34088762731815
Gen=58,Mean=-158.40019468761022,StdDev=68.35649729855363,Best=-77.41001227231527
Gen=59,Mean=-160.39183112138178,StdDev=67.50780332324653,Best=-78.3194101101381
Gen=60,Mean=-179.96827133869957,StdDev=78.4611445962918,Best=-84.17529328728234
Gen=61,Mean=-167.26718528188277,StdDev=72.49916984266991,Best=-86.6000577367013
Gen=62,Mean=-169.18676919784082,StdDev=68.9798588603699,Best=-76.24486867980035
Gen=63,Mean=-170.87021507277962,StdDev=72.11452004265192,Best=-81.40687931618555
Gen=64,Mean=-147.37250994921806,StdDev=54.11543967545329,Best=-84.92773398601896
Gen=65,Mean=-153.95950658691126,StdDev=75.1683951638907,Best=-68.76481658522765
Gen=66,Mean=-151.6199019070888,StdDev=72.8983514606796,Best=-70.02035418362293
Gen=67,Mean=-153.73162933323428,StdDev=65.75905217191833,Best=-77.02564508006408
Gen=68,Mean=-174.76572665347172,StdDev=75.65109177853304,Best=-75.30909639611937
Gen=69,Mean=-196.32563076378625,StdDev=80.90659556056879,Best=-83.28475250608601
Gen=70,Mean=-128.88125191536733,StdDev=57.44875981888226,Best=-58.38133263295726
Gen=71,Mean=-151.88263672375726,StdDev=63.02236953526241,Best=-75.97670695680354
Gen=72,Mean=-187.21893579287087,StdDev=73.7894184865613,Best=-81.22505771004414
Gen=73,Mean=-145.13096525032796,StdDev=51.01064815808654,Best=-66.53337508348723
